SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
John Norquay Elem.,49.241424696,-123.0516408,4710 Slocan St,http://www.vsb.bc.ca/schools/john-norquay
Sexsmith Elem.,49.217267793,-123.10879442,7455 Ontario St,http://www.vsb.bc.ca/schools/jw-sexsmith
Sir James Douglas Elem.,49.215594159,-123.06488106,7550 Victoria Drive,http://www.vsb.bc.ca/schools/sir-james-douglas
Franklin Elem.,49.282496197,-123.02758566,250 Skeena St,http://www.vsb.bc.ca/schools/sir-john-franklin
Sir Sandford Fleming Elem.,49.22574769,-123.07657409,1401 E 49th Av,http://www.vsb.bc.ca/schools/sir-sandford-fleming
Bayview Elem.,49.266487007,-123.18233379,2251 Collingwood St,http://www.vsb.bc.ca/schools/bayview
Lord Beaconsfield Elem.,49.252138376,-123.05269627,3663 Penticton St,http://www.vsb.bc.ca/schools/lord-beaconsfield
Kitchener Elem.,49.250583805,-123.17917598,4055 Blenheim St,http://www.vsb.bc.ca/schools/lord-kitchener
Edith Cavell Elem.,49.25290711,-123.11722884,500 W 20th Av,http://www.vsb.bc.ca/schools/edith-cavell
Shaughnessy Elem.,49.248676076,-123.14380998,4250 Marguerite St,http://www.vsb.bc.ca/schools/shaughnessy
Begbie Elem.,49.2718308007739,-123.038010037124,1430 Lillooet St,http://www.vsb.bc.ca/schools/sir-matthew-begbie
Maple Grove Elem.,49.2294087,-123.15151486,6199 Cypress St,http://www.vsb.bc.ca/schools/maple-grove
Quilchena Elem.,49.237246211,-123.15157081,5300 Maple St,http://www.vsb.bc.ca/schools/quilchena
Grandview Elem.,49.26619317,-123.0743697,2055 Woodland Drive,http://www.vsb.bc.ca/schools/grandview
Renfrew Elem.,49.251457775,-123.03205805,3315 E 22nd Av,http://www.vsb.bc.ca/schools/renfrew
Sir Alexander Mackenzie Elem.,49.234536436,-123.08671432,960 E 39th Av,http://www.vsb.bc.ca/schools/sir-alexander-mackenzie
Queen Elizabeth Elem.,49.257791773,-123.20112784,4102 W 16th Av,http://www.vsb.bc.ca/schools/queen-elizabeth
Thunderbird Elem.,49.2636488913338,-123.031870585582,2325 Cassiar St,http://www.vsb.bc.ca/schools/thunderbird
Trafalgar Elem.,49.250178757,-123.16460607,4170 Trafalgar St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/trafalgar
Laurier Elem.,49.217762535,-123.12504721,7350 Laurel St,http://www.vsb.bc.ca/schools/sir-wilfred-laurier
Sir William Osler Elem.,49.230762423,-123.13266216,5970 Selkirk St,http://www.vsb.bc.ca/schools/sir-william-osler
Bruce Elem.,49.242069088,-123.02567271,3633 Tanner St,http://www.vsb.bc.ca/schools/graham-d-bruce
Queen Elizabeth Annex,49.24893678,-123.19469107,4275 Crown St,http://www.vsb.bc.ca/schools/queen-elizabeth-annex
Tillicum Annex,49.286263456,-123.05559853,2450 Cambridge St,http://www.vsb.bc.ca/schools/tillicum-annex
Kerrisdale Annex,49.232868,-123.177405,3250 W 43rd Av,http://www.vsb.bc.ca/schools/kerrisdale-annex
Lord Selkirk Annex,49.245320775,-123.07246012,4444 Dumfries St,http://www.vsb.bc.ca/schools/selkirk-annex
MacCorkindale Elem.,49.2279901864655,-123.029355035116,6100 Battison St,http://www.vsb.bc.ca/schools/dr-hn-maccorkindale
Chief Maquinna Annex,49.266421544,-123.04511809,2882 E 4th Av,http://www.vsb.bc.ca/schools/chief-maquinna
Henderson Annex,49.221042144,-123.08804322,801 E 54th Av,http://www.vsb.bc.ca/schools/henderson-annex
Tyee Elem.,49.253569355,-123.07382164,3525 Dumfries St,http://www.vsb.bc.ca/schools/tyee
Sir James Douglas Annex,49.214830465,-123.07329351,7668 Borden St,http://www.vsb.bc.ca/schools/sir-james-douglas-annex
Garibaldi Annex,49.275416392,-123.05026877,1025 Slocan St,http://www.vsb.bc.ca/
Laurier Annex,49.210717996,-123.1194453,590 W 65th Av,http://www.vsb.bc.ca/schools/laurier-annex
University Hill Elem.,49.274792,-123.237384,5395 Chancellor Boulevard,http://www.vsb.bc.ca/schools/university-hill-elementary
Dickens Annex,49.250213062,-123.08271031,3877 Glen Drive,http://www.vsb.bc.ca/schools/charles-dickens-annex
Mount Pleasant Elem.,49.263965733,-123.09399954,2300 Guelph St,http://www.vsb.bc.ca/schools/mount-pleasant
Champlain Heights Elem.,49.220640302,-123.02774835,6955 Frontenac St,http://www.vsb.bc.ca/schools/champlain-heights
Lord Roberts Annex,49.283091711,-123.12980601,1150 Nelson St,http://www.vsb.bc.ca/schools/roberts-annex
Britannia Elem.,49.2745120095296,-123.071378795422,1110 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-elementary
Jules Quesnel Elem.,49.259567806,-123.19253813,3050 Crown St,http://www.vsb.bc.ca/schools/jules-quesnel
False Creek Elem.,49.267103112,-123.12685921,900 School Green,http://www.vsb.bc.ca/schools/false-creek
Champlain Heights Annex,49.2140784326839,-123.030549689398,7835 Champlain Crescent,http://www.vsb.bc.ca/schools/champlain-heights-annex
