PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Rosemary Brown Park,49.262138,-123.156622,W 11th Av And Yew St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Rosemont Park,49.2157560608426,-123.038988860608,3101 Rosemont Drive,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Ross Park,49.217354,-123.083028,7402 Ross St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=188
Roundhouse Turntable Plaza,49.2733083633066,-123.121747155605,181 Roundhouse Mews,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=29
Rupert Park,49.2720240421577,-123.033207461327,1600 Rupert St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=76
Sahalli Park,49.26395,-123.088821,E 7th Av And Fraser St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Salsbury Park,49.2772702448814,-123.067932792892,1806 Adanac St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=58
Seaforth Peace Park,49.2715356470184,-123.14605663548,1620 Chestnut St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=118
Shannon Park,49.2154492113369,-123.142537190497,1575 W 62nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=128
Shaughnessy Golf Course (Private),49.2338148,-123.209249,4300 SW Marine Drive,
Shaughnessy Park,49.2556588481556,-123.135126193618,1300 The Crescent,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=172
Slocan Park,49.2435582736904,-123.046270697895,2750 E 29th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=161
Spanish Banks Beach Park,49.277639105244,-123.219196615431,4801 Nw Marine Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=220
Sparwood Park,49.2202709749363,-123.029322381035,6998 Arlington St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=105
Stanley Park,49.29808542,-123.12758467,2000 W Georgia St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=206
Strathcona Linear Park,49.2768029158464,-123.08768209774,787 Prior St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Strathcona Park,49.2739358488483,-123.083384965515,857 Malkin Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=181
Sun Yat-Sen Gardens,49.27955,-123.103282268514,578 Carrall St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Sunnyside Park,49.2549318196817,-123.08075855565,1100 E 17th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=89
Sunrise Park,49.2666893191539,-123.035185212196,1950 Windermere St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=77
Sunset Beach Park,49.278909183849,-123.137686740102,1204 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=207
Sunset Park,49.2227614467884,-123.096659993793,404 E 51st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=189
Sutcliffe Park,49.268669,-123.134842,1318 Cartwright St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=47
Tatlow Park,49.2700636577659,-123.16961967201,2845 W 3rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=119
Tea Swamp Park,49.2572124489689,-123.09875267615,266 E 15th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Tecumseh Park,49.2297649688365,-123.069920286718,1751 E 45th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=198
Templeton Park,49.2785376941223,-123.058837267534,700 Templeton Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=60
Thornton Park,49.2739462873746,-123.099259869289,1166 Main St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=183
Thunderbird Park,49.2689151226471,-123.029075942653,3485 E 2nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=78
Tisdall Park,49.227338802948,-123.119300898504,6210 Tisdall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=147
Trafalgar Park,49.2513998775944,-123.164625073106,2610 W 23rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=8
Trillium Park Site,49.275015,-123.093116, National Avenue & Thornton Street,http://vancouver.ca/parks/
Valdez Park,49.2524295974901,-123.176474222982,3210 W 22nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=42
VanDusen Botanical Gardens,49.2390675050185,-123.134604033356,5251 Oak St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=173
Vanier Park,49.2759361737057,-123.143106611606,1000 Chestnut St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=120
Victoria Park,49.27151611,-123.06673021,1415 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=62
Victory Square,49.2821783006913,-123.110244168662,200 W Hastings St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=31
Volunteer Park,49.2716249018094,-123.169253700319,2855 Point Grey Road,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=121
W.C. Shelley Park,49.2630265755128,-123.072929504287,1500 E 8th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Wendy Poole Park,49.284259,-123.099577,199 Alexander St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=32
West Point Grey Park,49.2667615370398,-123.205152349074,2250 Trimble St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=221
Westmount Park,49.2718444762328,-123.214421822674,4651 W 2nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=222
William Mackie Park,49.2068328725102,-123.142478062354,1592 W 71st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=130
Willow Park,49.2648327614804,-123.122053400295,802 W 7th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=48
Winona Park,49.2159745339981,-123.113345842743,7575 Columbia St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Woodland Park,49.2785070159347,-123.073459942285,705 Woodland Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=64
Yaletown Park,49.277847097061,-123.118513250516,901 Mainland St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
