PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
China Creek South Park,49.261736,-123.078973,1255 E 10th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=134
Choklit Park,49.265542,-123.128668,W 7th Av And Spruce St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=0
Clark Park,49.25706,-123.072031,1500 E 14th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=81
Clinton Park,49.270385,-123.050294,2690 Grant St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=70
Coal Harbour Park,49.289969,-123.12512,500 Broughton St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=13
Collingwood Park,49.237054,-123.03671,5275 Mckinnon St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=151
Columbia Park,49.231446,-123.111988,5908 Alberta St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=143
Connaught Park,49.261932,-123.159733,2390 W 10th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=108
Coopers' Park,49.2734927534707,-123.113076149221,1020 Marinaside Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Crab Park at Portside,49.284662,-123.101238,101 E Waterfront Road,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Creekside Park,49.273917,-123.10283,1455 Quebec St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Creekway Park,49.288336,-123.036982,2957 Bridgeway Street,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=246
David Lam Park,49.2724251441973,-123.124173612194,1300 Pacific Boulevard,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=16
Deering Island Park,49.2182432597371,-123.185304541443,3530 Deering Island Place,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=38
Delamont Park,49.265814913323,-123.152633871764,2091 W 7th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=109
